text,label
"@radiopinguinfm Hallo Selmat MLM KA Aditya pendatang baru dari banbdr Lampung,,. Menyapa nihh. Rquz lagunya Agnes m… https://t.co/V4Fnh7zCEh",0
"Lupa dl yg main siapa aja, roger danyarta apa y sm agnes mo ? https://t.co/VwAsVmnH0F",0
"@Agnationcms @entong373 @AGN3ZONE @agnezmo kasih aja beginian, masa gak punya stok foto anak2😂
lagu : anak2
foto :… https://t.co/1K0DU6sSTJ",0
"Jahat banget tetangga gue 
Gue lg galau dia malah ngeplay lgu agnes mo yg sedih sedih",-1
@CetakBalikpapan @BiLLRaY2019 Setuju boss AGNES MO atau CINTA LAURA,0
"@dodoismyname @agnezmo Hmmmm sebenarnya kesalahan bukan dilakuan oleh team amo (https://t.co/41cufgdA5T ),tp label… https://t.co/CVlonbHz2F",0
"@dewakejujuran @agnezmo bruakaka aii jg heran ya ceuu, knp gk masuk akun agnes monica aja. jd berantakan koleksi agnez mo nyuahh",-1
Naik kereta biar ketemu mbak agnes mo eh ternyata zonk wkwk https://t.co/DTl4eB7FCo,-1
"Tak pernah lagi aku nak nangis dengar cover lagu sampai la dengar yang ni. Brb crying 💔

RINDU - AGNES MONICA (AGNE… https://t.co/l2OlHs2wed",0
@jinwonderlandr sebenernya aku ga collect pc karna ku tak sanggup seperti lagu agnes mo🙏🏻😭 tapi ku sedang mencoba c… https://t.co/hxSuBfEzOt,0
"@CeciliaElba2 @iamAGNEZious NAH PINTER!! klu mau pake S langsung aja Agnes Monica, klu mau pake Mo ya pake Agnez bu… https://t.co/rx7WUMkpeP",1
@iamAGNEZious @maulananodwicah iyalah harus. org di artwork nya aja pake z bukan s di semua platform music nya juga… https://t.co/RIJnFgiYWv,0
@vitamin_billie @anyeblack a mess! lagu jaman purba nama masih agnes monica pake artwork photoshoot era rindu ditul… https://t.co/xQoAFPUxRz,0
"rapuh - agnes mo, cocok bgt buat au mcd",0
@tonysaranghae Yg feat Agnes mo keren oppa.. 😅🤣,1
"Panter Agnes Mo suka diledekin Agnes Monikah, ternyata lirik lagunya ada sanggulnya. 😭☝",0
"Agnes Mo Ungkap Kabar Terbaru Lyodra Indonesian Idol, Prestasinya Bikin Bangga https://t.co/mrI9GoNKxu",1
@anyeblack @lathofya @Spotify @agnezmo @the_agnation @aquariusmusik Kangen agnes monica duhh dr awal udah ga srek s… https://t.co/F6I1DLQJN4,-1
gini ga sih? wkwkwk agak susah jg lagunya agnes mo :') https://t.co/Z9bzOsNE87,-1
"@bertanyarl memang betul kata agnes mo. cinta ini kadang-kadang tak ada logika.

eh tapis, lo putusin duluanlah! ad… https://t.co/xUajTIwHxt",1
@inijeda Lagu rapuh Agnes mo enak banget anjeng asli deh,1
"@yudiharahap46 Bg yudi, mau foto ma agnes mo aja, dipanggil pake surat panggilan pemeriksaan saksi di KPK bukan...??? 🤭🤭🤭🤭",0
@ipeachyou1012 ara kan fansnya agnes mo jd pasti tau klanjutannya,0
aku setiap liat akzmo bacanya mesti agnes mo...,0
"P MKSD SY MIRIP AGNES MO HM

@NIR00BIN",0
"KM KMBRNNYA AGNES MO YH, NGAKU @LOUISJ4MESM",0
"@sosmedkeras Pertanyaanku sampe saiki:
Rachel Vennya iku sopoooooo ???
Aku ngertine Ariel Tatum, Agnes Mo, Luna Maya.....",0
Nct nyanyi lagunya agnes mo https://t.co/zLPxiQU5v8 https://t.co/GstYk1tFr8,0
"@MUSIKMENFESS Yang terlupakan- iwan fals
Cinta mati- agnes mo
Di dadaku ada kamu- vina panduwinata
Arti cinta - ari lasso
Dealova - once",0
@senjalana Klo kek gini kok  mirip2 Agnes Mo ya,0
@AidulFa @maspiyuaja Gubernur pertama Jakarta kan Jokowi dan Ahok.. makanya Anies melanjutkan kinerja mereka.,0
[Berita] Berita Terkini ~ BODOHHHH !! ALASAN JOKOWI-AHOK DI BENCI TERNYATA GARA-HAL INI ! – Video Terbaru… https://t.co/48ir6uH6Dw,-1
"@AcehKadrun21 coba berapa aliran dana yg dikucurkan si one abude, padahal uang negara ...mental ngecut, kalo ahok noway!",-1
"@nety_rusi Koh Ahok?
Coba maju lagi di 2024, kita lihat, mayoritas rakyat memilih siapa.",0
@kangngabei @gr8diazm @dr_anggapk @DarmadiAktiviks @tatakujiyati Krn elu memberi link berita yg sepihak hanya dri s… https://t.co/86TFS2KMDG,-1
@lungshah @mukthi313 @JAckBianto @bachrum_achmadi 2015-2016: Ahok kapok beli bus asal China Permasalahan bus-bus tr… https://t.co/xGMM9GjqbH,0
@kangngabei @gr8diazm @dr_anggapk @DarmadiAktiviks @tatakujiyati Ga semua tempat ibadah ngehujat Anies atau Ahok. K… https://t.co/1SFeUrleP1,0
@Abu_Jibrill @msaid_didu Ahok cuma statusnya aja ga kebal hukum.  Coba pernah gak kau lihat ahok dipenjara padahal… https://t.co/ZnrdVs00ar,0
"Tapi bener sih, para pendukung Ganjar, kodran-kadrun mulu. Malah mengurangi pemilih dari bekas 02 di 2019 kemarin.… https://t.co/fF3J5vepoO",-1
@StefRanda Mana saucu nyuk nya Ko Ahok?,0
"@RudiSoekoco @msaid_didu Ga ada yg kebal hukum, buktinya Ahok juga masuk penjara...",-1
@belicik_aje_lg Anak Buah Ahok,0
@CabutMandat555 @BFofZlhan @KangUtang04 @AwanBiru7654 @M394NMIC @SweetDreamchics @LuthfiRashya @MelawanKezalim… https://t.co/XZL8P4fDp5,0
"@Mdy_Asmara1701 Mas gubjokowi dan masgub ahok  dapat juga kan.   Sama dicintai rakyat jkt,,",1
"@BakarSmith @muhsinlabib Banyak cerita tentang keluhuran seorang Koh Ahok. Yg lebih memilih ""menyimpannya"" daripada untuk dikonsumsi publik.",0
"@katrinrienks @P3nj3l4j4h_id @SBYudhoyono Saya malah gak ngerti Sibuya ngomong apa,yg saya faham cuma Sby ingin Aho… https://t.co/cFfUQrjZkj",-1
@Hayuningrat7 @toemar_loega @AlvaOmega_ Dulu Jkt jmn Ahok sopir kenek transjkt jg sangaaat sopan dan membantu sekal… https://t.co/MQI81Xw88E,1
@BakarSmith @muhsinlabib Ahok... ??? Terharu kok melumerkan Iman....,-1
"@NawaNinik @nety_rusi Sama saja..
Mau ahok..mau anis..mau yg dulu"" 
Sama saja.masih  tetep banjir..",-1
"@WaraslahNKRI Ahok udah pas bersih"" semua perusahaan negara jokowi yg mimpin negara.",1
"@ZEN70643656 @nety_rusi Ahok sdh jelas lbih bs kerja lhoo
Gak mau nerusin kinerja Ahok sihh..",0
"6. Di luar dugaan, selang kira-kira dua jam, 4 orang berseragam pegawai Pemprov DKI datang ke TKP. ""Cuitan Bapak di… https://t.co/hsx2Ih6D6G",0
@nety_rusi @GunRomli Untuk apa capek² turun lapangan kalo banjir(zaman Ahok) sampe berminggu minggu. Bahkan Soedirm… https://t.co/bjLYd7oznf,0
"@KakekHalal ""Banjir itu warisan Ahok yg ga tuntas ngatasi banjir.."" kata Wan Toa",-1
@beomumeong @jokowi gue tim ahok sih,1
@meow_leader @musniumar Betul gara gara Ahok bawa bawa atat di pulau seribu hancur tatanan negara ditambah mayat 80… https://t.co/JSETct1sf3,-1
"Anjir ini serius cuma bisa gini ? Jaman Pak Ahok dulu sebelum masuk musim hujan udah turun lapangan, cek semua salu… https://t.co/uiEnmjxrVF",1
"@aewin86 Pak Jokowi dan Pak Ahok. Dihajar terus tapi tetap kuat.
#GiveAway
#BangWIN",1
FAKTA AHOK TK GUSUR ANIES TK MBANGUN ... https://t.co/gpV2QSKJgj https://t.co/jzRXS6bNTZ,0
"@bachrum_achmadi Ahok mah....bencana bagi jkt...
Maklum org suka t*i.......😳😰😞",-1
@KakekHalal @PDI_Perjuangan Sama Kek saya jug pilih PDIP karena saya nilai dlm proses kaderisasi kepemimpinan sukse… https://t.co/S57ag7DuUw,1
"@S4N_W1B1 Apalagi saya, saya tdk kader partai manapun &amp; jujur saja saya tertarik dgn @PDI_Perjuangan itu hanya kare… https://t.co/Pa2XtKCud7",1
"@Ndrews110611 @jokowi Sama persis kek Ahok naruh standart bar utk gub DKI, itu pula yg dilakuin Jkw.

Semua bacapre… https://t.co/Jr3PUMCJkD",1
"Selamat ya pak @aniesbaswedan, tapi kenapa cuma bapak, bang Yos dan pak Fauzi Bowo, mantan gubernur lain nya sepert… https://t.co/wt955cH49B",1
@Celes_being1074 @jokowi Yah kalau mau jujur capres yg sekarang itu blm ada apa2nya dibandingkan beliau. Satu2nya y… https://t.co/qE0f6PRl0b,1
"Tapi, kan Anies cuma melanjutkan Jokowi dan Ahok 😁 https://t.co/waatKewFFT",0
"@retnalove @panca66 @ismailfahmi Kayak gak tau sih, tugas, wewenang serta SOP BuzzeRp sepeti apa.
Harus dipelajari… https://t.co/I0XVJK15CG",0
@Tajudin84433172 @lungshah @bachrum_achmadi Eh.... Udah 1 jam gak ada tanggapan dari Bani Ahok ?,0
Tanggapan Singkat Ahok Pertamina Rugi Rp 3.350 per Liter dari Pertalite https://t.co/dgQnh1i4iS,0
Apakah ini salah ahok? https://t.co/pfGTbffXjM,0
"@ihwanbudiawan @Donirahardhian @Guest61376601 @aniesbaswedan Emang ikut les apa?
https://t.co/kfUpzpRN3S",0
"@ardiriau1 @aniesbaswedan Berapa miliar rupiah dana hibah yang diberikan Anies ke Bamus Betawi setiap tahun?

Sebel… https://t.co/Y8KvO4N8sT",0
"Pertalite Mestinya Dijual Rp 11.000 Bukan Rp 7.650, Begini Respons Ahok https://t.co/iK9ACyedc3",0
@akunrec09153247 @aniesbaswedan Yang kaya 2016 ya punya slogan saya muslim saya pilih ahok. 😁,1
@Dewmor651 @bachrum_achmadi Di sidang nya jelas kok bos. Semua yg ditanyakan ke Ahok waktu itu datanya jelas. Makan… https://t.co/04L1uGpKG5,1
"@Dewmor651 @bachrum_achmadi Link berita yg gak jelas. Kalau masalah uang, ahok gak pernah bermasalah. Semua jelas d… https://t.co/Jq8PTclUPA",1
"Trs pas kapan ahok kalah pilkada wk, w ngelamar ke agency di new zealand. Balesnya cepet, intinya si dr mrk “kaga dulu” wkwkwk",-1
@ishfahanis Aheng siapax ahok? @aditbz,0
@Reborn21s @Dewmor651 Betul.. gugat saja.. Toh.. AB Bukan type pengecut main bungkam pihak yg berseberangan ...sela… https://t.co/mLmu1dAUf1,-1
@detikcom Terimakasih ahok,1
"@BossTemlen Yang goblok itu yang milih Ahok,.dah jelas kandidat ada tiga,coba klo ada dua kandidat dah gak perlu putaran 2",-1
"@bachrum_achmadi Ahok: ""Apapun masalahnya, cuma TAIK solusinya,"" https://t.co/7tQF0JIj7X",-1
@leo2saucisson @gvbymrts @emyfraude ahok dsl,0
"@AcehKadrun21 ya iyahlah berjasa, terima dana bantuan dari anies, lah jaman ahok mah di stop dananya makanya kompak bela2in anies... 🤭🤭",-1
#mostpop Harga BBM jenis Pertalite seharusnya Rp 11.000. Menurut Kementerian ESDM harga keekonomian Pertalite sudah… https://t.co/0TpbtpYQtA,0
"@JAckBianto @bachrum_achmadi Betul bos, parah emang dishub DKI saat itu. Pesan bus yg blum teruji. Skrg bus2 Merced… https://t.co/RQZL3luQWZ",-1
@kwee_anton @heroep03 @prytnma @msaid_didu Kl PKI mulutny TAIIIII semua kayak Ahok isi mulutnya TAIIIIII menjijikan… https://t.co/hCQs5otQer,-1
"@bachrum_achmadi Tudingan beli lahan atas investigasi BPK. Kepala BPK skrg dipenjara ya bos ku, karna dia teriak ma… https://t.co/xggTPnKJiD",0
"@ChusnulCh__ Pilpres masih 2 tahun lagi sdh gaspol.

Dulu juga ada teman Ahok di pilkada gaspol habis2 di setiap mall.

Tumbang juga.",0
"Drun, maturnuwun karo Ahok! https://t.co/6fxdCxwMBT",1
@basuki_btp selamat siang pak Ahok. Saya ingin meminta bantuan Bapak. Perusahaan sy berdiri sejak th 2002 terakhir… https://t.co/ENwLbxPxHT,0
@bachrum_achmadi Gw masih ingat naik bis tj cino jaman ahok bunyi gludak2 serasa naik bajaj. Blm lagi kebakaran mulu.,-1
@Pencerah__ pak ahok biar jadi kepala otorita dulu di ibukota yang baru menurutku...biar ibukota baru bisa menjadi kota kelas dunia,1
@kangngabei @gr8diazm @dr_anggapk @DarmadiAktiviks @tatakujiyati Ga selalu soal sara..https://t.co/aUmEV1Dnls,0
@karniilyasclub @karniilyas Berarti Ahok bisa jadi menteri agama?,0
@kangngabei @gr8diazm @dr_anggapk @DarmadiAktiviks @tatakujiyati Belajar lah membandingkan dri 2 sisi. Jgn cma dri… https://t.co/xFMI3uqTHP,0
"@ChusnulCh__ Apaan bedah rumah di bangga2in,itu mah hal biasa, bisa nggak kaya anis kampung aquarium yg di gusur ah… https://t.co/Aseqjyd7eT",-1
"Saat ini saya belum melihat sebuah nama untuk masa depan bangsa sebagai penerus Jokowi.

Ada yang sering disebut, n… https://t.co/xnGGzqX8SO",0
@aniesbaswedan Jakarta banjir kayak zamannya Ahok Jokowi gak ya semalam Om @emerson_yuntho ? Hujan gede lho Sabtu,0
"@kenshinov @kingtiger11 @ak4lseh4tl0hgw @bachrum_achmadi Lah kenapa dgn bacot gw ,naksir ya sama bacot gw🤣🤣🤣🤣🤣🤣,yg… https://t.co/Zc5ywmgOlk",-1
"@Reborn21s Gak usah didengerin deh nitizen +62, insylloh sbntar lg JIS diresmiin, taman Ismail Marzuki diresmiin, r… https://t.co/5SxIy7KfLO",0
@yaaalikha Kemeja Ahok,0
Komisaris Utama Pertamina Basuki Tjahaja Purnama alias Ahok memiliki komentar khusus soal harga BBM PT Pertamina (P… https://t.co/3CzHMe2rgG,0
@Ilham281011 Skip masih banyak ondel ondel pengemissss @Dennysiregar7 @FerdinandHaean3 @FerdinandHaean3… https://t.co/uJXZWPpJX0,-1
@kangngabei @gr8diazm @dr_anggapk @DarmadiAktiviks @tatakujiyati Diakui dipilkada DKI ada unsur sara tapi kedua bel… https://t.co/a05a0HTNCX,0
@kangngabei @gr8diazm @dr_anggapk @DarmadiAktiviks @tatakujiyati Kalau Ahok keok Krn sara. Gak akan mungkin dia Men… https://t.co/lYG7FphzE7,0
"Inilah mengapa kita butuh sosok orang gila seperti ""ahok"" (baca: setipe). Agar sistem perekrutan dilakukan dengan s… https://t.co/idrd1SCHfy",-1
@Buayasangatta @andry19633 @RamliRizal Yups .. Indonesia membutuhkan Ahok - Ahok  yang lain untuk ditempatkan di BU… https://t.co/oMzFjCVaSD,1
"buat kami cukup sudah Ahok yang kalian fitnah.. Jika kalian ""mengganggu"" pak Jokowi, Kami akan fight, ingat : ini P… https://t.co/dqfgF3k55i",1
Ahok cari - cari celah untuk serang para saksi #DramaAhokDikriminalisasi #PenjarakanAhok,-1
@machbeach Saat ini tiada yg tak mungkin bagi  Ahok selama  system politik di kendalikan oleh oligarki..,-1
Segera lah tomat eh tobat wahai kadrun sontoloyo yg jadi mahasewa. Kalian itu tidak sebanding dengan pendukung Joko… https://t.co/MmEtjFVtxN,-1
@JamesLi58668905 @MikhailRaffasya @jokowi Umat si ahok selalu tolol!,-1
@Mdy_Asmara1701 Pak @aniesbaswedan itu bodoh tp sekali dikeluarkan kepintarannya penghargaan berdatangan Jakarta ma… https://t.co/dzaILTuQGr,1
@bajingantai212 Kalah nya Ahok itu karena serangan fajar money politic 3 T,-1
"*jika perlu pura-pura masuk islam?...*

Alloh buka siapa Ahok 2024 *Ternyata Tujuan akhir AHOK adalah menjadi Presi… https://t.co/AQ7NYKncdm",-1
Pak Ahok jaga IKN pak ganjar penerus jaga NKRI tinggal PDIP tentukan sikap pro rakyat NKRI atau cuma suara rakyat s… https://t.co/6oT24J7X8Z,1
@RD_4WR1212 @wrahardian2 Bagaimana jamn ahok tai.... Lebih parah su,-1
"@geloraco Pendukung Ahok terkenal tukang fitnah, manipulasi data, 
Impor KTP dari Kamboja dengan penerima si Leo sa… https://t.co/CS40LV8Bko",-1
@NovitaS08789871 @MSApunya @aniesbaswedan Intinya penghamburan uang🤣🤣 karya DP rumah nol aja dikorup 😁😁... Katanya… https://t.co/4W6vYqrKOS,-1
"@yusuf_dumdum_ Ahok pernah bilang bgini:
Pertamina merem aja pasti untung. 😎

Skrg pertamina merugi, kata Ahok krn… https://t.co/vdxYPsMCPD",1
"@RD_4WR1212 Ahok pernah bilang bgini:
Pertamina merem aja pasti untung. 😎

Skrg pertamina merugi, kata Ahok krn hrg… https://t.co/4hgJ8BCstd",1
"@RD_4WR1212 @DivHumas_Polri Ahok pernah bilang bgini:
Pertamina merem aja pasti untung. 😎

Skrg pertamina merugi, k… https://t.co/35FBLN4YGl",1
"@henrysubiakto Ahok pernah bilang bgini:
Pertamina merem aja pasti untung. 😎

Skrg pertamina merugi, kata Ahok krn… https://t.co/GxeTA8ZDPY",1
"@henrysubiakto Ahok pernah bilang bgini:
Pertamina merem aja pasti untung. 😎

Skrg pertamina merugi, kata Ahok krn… https://t.co/9cplzcYfj9",1
"@GunRomli Ahok pernah bilang bgini:
Pertamina merem aja pasti untung. 😎

Skrg pertamina merugi, kata Ahok krn hrg p… https://t.co/fD5sTCMSgY",1
"@sigitwid @GunRomli @psi_id @PSI_Jakarta @ASastroamidjojo @aniesbaswedan @Uki23 Ahok pernah bilang bgini:
Pertamina… https://t.co/XBbXNXZfEu",1
"@GunRomli @TeguhOstenrik Ahok pernah bilang bgini:
Pertamina merem aja pasti untung. 😎

Skrg pertamina merugi, kata… https://t.co/26dgvcT44P",1
"@Muhsinsukandar5 @YRadianto Ahok pernah bilang bgini:
Pertamina merem aja pasti untung. 😎

Skrg pertamina merugi, k… https://t.co/ReLrdhV71W",1
"@ruhutsitompul Ahok pernah bilang bgini:
Pertamina merem aja pasti untung. 😎

Skrg pertamina merugi, kata Ahok krn… https://t.co/ZqJab7c13s",1
"@ruhutsitompul Ahok pernah bilang bgini:
Pertamina merem aja pasti untung. 😎

Skrg pertamina merugi, kata Ahok krn… https://t.co/20Abj7EOY6",1
"@Sarah_4M4M4 @_LOVE_AG4EVER Ahok pernah bilang bgini:
Pertamina merem aja pasti untung. 😎

Skrg pertamina merugi, k… https://t.co/hCvrmSTzeS",1
"@WR_4AG226id @_LOVE_AG4EVER Ahok pernah bilang bgini:
Pertamina merem aja pasti untung. 😎

Skrg pertamina merugi, k… https://t.co/thOKBZjd2Q",1
"@ChusnulCh__ Ahok pernah bilang bgini:
Pertamina merem aja pasti untung. 😎

Skrg pertamina merugi, kata Ahok krn hr… https://t.co/1mGwb1DMe5",1
"@ChusnulCh__ @SBYudhoyono Ahok pernah bilang bgini:
Pertamina merem aja pasti untung. 😎

Skrg pertamina merugi, kat… https://t.co/qJ6Kgr8kfa",1
@ganafmargi @RaniKancana_ @leamaya6 Otakmu terlalu dipenuhi kebencian terhadap Ahok dan Jokowi sehingga kau dustaka… https://t.co/NVrFoELPnP,-1
"@76Soel @ChusnulCh__ Ahok pernah bilang bgini:
Pertamina merem aja pasti untung. 😎

Skrg pertamina merugi, kata Aho… https://t.co/1DdmqnBWjZ",1
"@ChusnulCh__ Ahok pernah bilang bgini:
Pertamina merem aja pasti untung. 😎

Skrg pertamina merugi, kata Ahok krn hr… https://t.co/JuyCcevxbU",1
"@FerdinandHaean3 @KPK_RI Ahok pernah bilang bgini:
Pertamina merem aja pasti untung. 😎

Skrg pertamina merugi, kata… https://t.co/6adE4e27tF",1
"@FerdinandHaean3 Ahok pernah bilang bgini:
Pertamina merem aja pasti untung. 😎

Skrg pertamina merugi, kata Ahok kr… https://t.co/TsuT2wPIxT",1
"@FerdinandHaean3 Ahok pernah bilang bgini:
Pertamina merem aja pasti untung. 😎

Skrg pertamina merugi, kata Ahok kr… https://t.co/6SaQokM2Mc",1
"@Dennysiregar7 Ahok pernah bilang bgini:
Pertamina merem aja pasti untung. 😎

Skrg pertamina merugi, kata Ahok krn… https://t.co/HkEWU4sNSj",1
"@Dennysiregar7 @Leonita_Lestari Ahok pernah bilang bgini:
Pertamina merem aja pasti untung. 😎

Skrg pertamina merug… https://t.co/CTCHoDLFgw",1
"@Dennysiregar7 @jokowi Ahok pernah bilang bgini:
Pertamina merem aja pasti untung. 😎

Skrg pertamina merugi, kata A… https://t.co/xzrtxetKZm",1
"Ini bakal tercapai jika presiden pengganti Pak Jokowi bersih, berintegritas, pekerja keras kek Pak Jokowi, punya mi… https://t.co/FIROU3ntPG",1
@bachrum_achmadi Ahok dipercaya🤣,1
"@parlandungan @RaniKancana_ @leamaya6 Otak lu yg ada gangguan, seolah2 gratis cuma ahok yg kasih gratis.....
Bloon… https://t.co/gXVqqgQEcD",1
@kenshinov @kingtiger11 @ak4lseh4tl0hgw @bachrum_achmadi Kalo ga berprestasi mana mau pemerintah ambil ahok https://t.co/Kvczn0F8BX,1
"@Gatotka46154726 @ak4lseh4tl0hgw @bachrum_achmadi Nih Pertamina di tangan Ahok,merugi ga bakal bangun rumah sakit d… https://t.co/g7oslvwW0a",-1
"@Myrdall1 @RD_4WR1212 @aang___________ @aagym Coba kalo gubernurnya Ahok, sekarang pasti sungai² sudah selesai di n… https://t.co/UbE8tg951q",1
"@ganafmargi @RaniKancana_ @leamaya6 Di Jakarta asal punya KTP Jakarta gratis berobat di masa Ahok, pun gratis biaya… https://t.co/4j7FXThDMz",1
"@Diana30609335 @kingtiger11 @ak4lseh4tl0hgw @bachrum_achmadi Ntar kalo ga dikasih jatah komut, semua akan dimaki2 s… https://t.co/ssRUh5p2Zb",-1
@Rizmaya__ Lha wan abaskan yg merusak demokrasi di negri ini benar kata Ahok jangan bohongi rakyat demi Pilgub inga… https://t.co/E9vHPTk929,1
"berarti meremnya kurang serius...
😂
https://t.co/DBS9vSXV0i",-1
"@ManogiSimarmata @nazaqistsha Ahok itu Nusantara yah🤣🤣🤣
Anies Baswedan juga Nusantara kalau gitu.. 
Terus yg Pribum… https://t.co/wOxIW3REuh",0
@hansssolo Ya bos..kurang lebih lah..itu kan ranah Tuhan.banjir.longsor.gempa dlll.manusia hanya berusaha Tuhan yg… https://t.co/DDaAkFQYrL,0
Ahok dalam sebulan ini tengah gencar melakukan kunjungan ke fasilitas Pertamina di berbagai daerah. Dari Kalimantan… https://t.co/0SlcVfd7wu,0
"TP RENTCAR PLG, suport Mr. Ahok dan Mr Erik Tohir.. https://t.co/lGPwmJFARc",0
"@bachrum_achmadi Si ahok nya suruh merem bang, masih melotot doi makanya Pertamini Rugi,..ckckck",-1
"@detikcom Ya tdk sepenuhnya salah anak... kita masih ingat kan bapak nya waktu kasus sama inul,sama Ahok ... kita h… https://t.co/IWSJ66xtEp",0
"@DhimasAdjieSat1 @Yono43335319 @Mdy_Asmara1701 Halah bacot 
Akun jadi2an bangga lo 
Kalo mmg bermasalah uda keciduk… https://t.co/FG2SRMn1yB",-1
"Ahok kalo gak ngebacot, ya bikin Amsiyong nih negara https://t.co/pHEWOnbJo6",-1
@detikcom Azab karma dr ahok sih tdk pernah berhenti2 bagi yg menzolimi nya...,0
"@Diana30609335 @agusdewo6 @als_who @ak4lseh4tl0hgw @bachrum_achmadi Ahok jadi gubernur karna lepehan jokowi..
Ikut… https://t.co/yXaRJxKYdr",-1
@TofaTofa_id Wkwkwk... stlh kasus bagi² #NasKot yg beracun skrg bikin narasi #Ahok soal air bersih buat warga KambOJA 😂🙈,0
"baru tadi liat ada orang random diinterview BBC ga nyambung.

sekarang ada lagi yg ga nyambung bilang perda syariat… https://t.co/793pco8Szn",-1
"Seandainya ;
mbak wartawan itu  wawancara ahok atau LBP bisa2 habis kena semprot.

Seandainya ;
Mbak wartawan itu w… https://t.co/s3DeoUD1O8",0
@MCAOps Sepertinya dia ingin terkenal kayak Ahok...,0
"@NenkMonica Ray Rangkuti: Luka akibat Politik Identitas Pilkada DKI 2017 Belum Sembuh
https://t.co/qIEqdGwv0e

Eep… https://t.co/jYcu6ttjUp",0
"@Durangorantokan @tr4d0 @Abidin29Zainal @karnatjahyana @tatakujiyati ah ahok aja yang nggak pede, lu petahana kalau… https://t.co/RL0bZa6hLz",0
@mahasiswigenz Hahahha wajar kalau bamus selalu angkat wan jembut ..lah wong kran apbd ada mengalir ke bamus yg dul… https://t.co/9Rf9wKF1pb,0
"buat kami cukup sudah Ahok yang kalian fitnah.. Jika kalian ""mengganggu"" pak Jokowi, Kami akan fight, ingat : ini P… https://t.co/m606L2VngB",0
"@bachrum_achmadi ""Rindu Ahok"" 😅",0
"@bachrum_achmadi Hanya orang bodoh yg msi memuja ahok...
Kerja eng bsa..ngoceh bauu no 1 TAi la",-1
"@Melioda23402804 @agusdewo6 @als_who @ak4lseh4tl0hgw @bachrum_achmadi Emang kenyataan,fakta mau nyangka ,tuh nenek… https://t.co/i8Hyv8I35C",0
"@Pencerah__ Ada ratusan pejabat yg berwenang mengelolaAnggaran, blum lg bawahan2 para pejabat tsb..sangat sulit mem… https://t.co/Pn6ll1zEqX",0
"Anies tidak punya backup Power #Siapa pun kecuali Ibunya,Isterinya dan Masyarakat Jakarta yang Cerdas. Kekuatan dal… https://t.co/JABZ85P44x",0
@jaebanggarriego Klo sampe pak Ahok jdi ketua @KPK_RI bakalan banyak koruptor yg stroke...,0
"@riyutoooo @Banser_Jakbar Lah emang bener, toh Ahok sdh dipenjara Anis sdh jd gubernur ngapain memupuk dendam tak kunjung padam",0
@__4Lf4th112ad7a Padahal Ahok bilang sambil merem juga Pertamina tetep untung,0
